postal code,long,lat
118326,103.796732,1.206714
118328,103.797294,1.206172
118327,103.797002,1.206443
118345,103.778535,1.208816
627710,103.677663,1.227227
627713,103.676377,1.226058
627714,103.680805,1.231158
627807,103.686353,1.241051
627600,103.669062,1.247559
627640,103.674587,1.248041
627641,103.67524,1.24846
627630,103.685145,1.2461
627806,103.686543,1.246528
627700,103.679089,1.258709
627869,103.691406,1.267418
627889,103.69697,1.259536
627890,103.699925,1.257798
627811,103.697983,1.254995
627646,103.697349,1.256055
627872,103.698084,1.256242
627835,103.6977,1.253845
627829,103.699696,1.252871
627863,103.698579,1.254116
627894,103.7018,1.255915
627859,103.702929,1.254244
627853,103.727082,1.266403
628277,103.723862,1.263645
627716,103.724358,1.265172
628289,103.722531,1.266564
628286,103.719663,1.269482
628285,103.716058,1.269966
628287,103.719695,1.264109
628226,103.708795,1.256197
627883,103.705091,1.258026
627887,103.706104,1.259292
627748,103.708969,1.258813
627821,103.710209,1.25822
628225,103.709984,1.25864
627745,103.710328,1.261516
627837,103.708414,1.268685
627878,103.70443,1.267395
627645,103.701763,1.265377
628227,103.702964,1.262701
627886,103.702954,1.261644
627875,103.702788,1.259085
627876,103.701909,1.258829
627801,103.70154,1.258936
627802,103.700923,1.259591
627855,103.69978,1.26042
627892,103.701391,1.263534
627882,103.698772,1.261362
627888,103.696982,1.263187
627868,103.697318,1.262885
627891,103.699738,1.264088
627881,103.693851,1.265186
627867,103.693651,1.270603
627870,103.694557,1.272897
627838,103.705225,1.27726
627861,103.70601,1.27038
628288,103.710314,1.273548
628282,103.710597,1.272876
627880,103.708204,1.272019
628278,103.712052,1.271939
628283,103.711397,1.27105
628279,103.71306,1.274191
628281,103.713802,1.273986
627719,103.713002,1.275591
627862,103.712597,1.277482
628280,103.713805,1.276456
627839,103.713655,1.277973
627840,103.712609,1.278312
627803,103.712222,1.278827
627816,103.710852,1.290359
628260,103.71123,1.290234
627740,103.720269,1.28947
627830,103.719146,1.285134
627843,103.723175,1.285968
627857,103.720896,1.285244
627865,103.719134,1.280218
627877,103.716786,1.281108
627625,103.714971,1.277498
627860,103.716924,1.277655
627715,103.714375,1.27619
627858,103.71542,1.274556
627825,103.716588,1.273079
628284,103.714548,1.271258
627718,103.71917,1.272142
627717,103.718775,1.274144
627884,103.722587,1.274462
627873,103.723882,1.27356
627818,103.7222,1.275906
628209,103.727225,1.282223
628208,103.731592,1.277974
627730,103.730746,1.276216
627879,103.731245,1.274922
627832,103.73131,1.273154
627834,103.738765,1.274192
627822,103.739229,1.273906
627823,103.723399,1.289689
618403,103.719323,1.300482
609151,103.729737,1.302828
609145,103.73153,1.303624
609158,103.730363,1.302554
609152,103.731877,1.302423
609144,103.731004,1.301464
609030,103.738408,1.301745
609031,103.738628,1.301083
609039,103.738083,1.30123
609040,103.736904,1.301117
609032,103.736167,1.300732
609035,103.736363,1.304084
609033,103.736929,1.301973
609034,103.737244,1.302437
609028,103.738469,1.302478
608971,103.739685,1.303173
608968,103.738258,1.303539
608969,103.739152,1.304392
608970,103.739528,1.304414
609037,103.738653,1.304501
609038,103.737605,1.304141
609029,103.73728,1.30557
609036,103.737888,1.305306
609019,103.738864,1.305221
609018,103.739635,1.305947
609020,103.738191,1.306586
609183,103.739117,1.307032
609185,103.738884,1.307674
609187,103.738462,1.30811
609217,103.737805,1.307737
609184,103.73675,1.308165
609021,103.736935,1.306983
609027,103.736746,1.305424
609026,103.736264,1.305334
609024,103.73552,1.306696
609023,103.736017,1.306774
609022,103.736326,1.306633
609186,103.736279,1.307715
609188,103.735734,1.307882
609191,103.735258,1.307964
609025,103.734937,1.306822
609141,103.734305,1.307178
609142,103.73414,1.302857
609148,103.731979,1.303249
609147,103.73243,1.303964
609146,103.732866,1.306275
609149,103.731559,1.306567
609161,103.73015,1.305575
609205,103.729133,1.307047
609215,103.729576,1.307378
609202,103.729398,1.307722
609207,103.728737,1.308079
609214,103.728657,1.30777
609208,103.728654,1.307546
609209,103.728447,1.306993
609213,103.728446,1.308659
609200,103.729391,1.308186
609198,103.729706,1.308824
609196,103.730045,1.309701
609216,103.729765,1.310458
609212,103.730225,1.311219
609204,103.730832,1.310608
609211,103.730975,1.310544
609195,103.73111,1.308265
609138,103.731239,1.308748
609194,103.732768,1.308972
609199,103.732745,1.310107
609197,103.733351,1.310004
609201,103.732303,1.310565
609210,103.73153,1.310185
609203,103.731632,1.310632
608615,103.731648,1.312578
608610,103.732254,1.312394
609133,103.73296,1.312927
608612,103.732679,1.31231
609130,103.733045,1.313345
609131,103.733998,1.313139
609135,103.73423,1.313411
609132,103.733863,1.312752
608616,103.733392,1.312158
609136,103.733665,1.310825
609143,103.734507,1.310198
609139,103.7344,1.309586
609140,103.734053,1.308344
609193,103.735727,1.309426
609192,103.737362,1.309158
609189,103.738087,1.308388
609190,103.737836,1.308947
608782,103.734886,1.315643
608783,103.735057,1.315602
600047,103.739632,1.320359
128408,103.748487,1.311451
128405,103.749252,1.311077
609832,103.750306,1.30744
609017,103.740134,1.306194
608974,103.741094,1.303913
608972,103.740275,1.304177
608973,103.740495,1.302714
608975,103.739715,1.302278
609831,103.743725,1.302527
608976,103.740036,1.301512
609278,103.745123,1.299365
609280,103.745868,1.300436
609287,103.746559,1.301139
